"all _ image _ url","Occurrence status assumed to be present","Basis of record badly formed","Coordinate precision not valid","Country inferred from coordinates","Data are generalised","First of the month","First of the year","Geodetic datum assumed WGS84","Identification date before occurrence date","Incomplete collection date","Invalid collection date","Unrecognized geodetic datum"
"","true","false","false","false","false","false","false","true","true","false","false","false"
"","true","false","false","false","false","false","false","true","true","false","false","false"
"","true","false","false","false","false","false","false","true","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false","false"
"","true","false","false","false","false","false","false","true","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false","false"
"","true","false","false","false","false","false","false","true","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false","false"
"","true","false","false","false","false","false","false","true","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false","false"
"6800e2e6-dc3c-4624-9571-5b8ab9ed9375","true","false","false","true","false","false","false","true","false","false","false","false"
"357332e1-b73e-435c-9559-7835d9491fbe","true","false","false","true","false","false","false","true","false","false","false","false"
"26c5e4ad-1b63-45c5-9e40-3308fa1e22d5","true","false","false","true","false","false","false","true","false","false","false","false"
"","true","false","false","false","false","false","false","true","true","false","false","false"
"8e7aec35-18f8-4d4b-a9a1-cc1799216dde","true","false","false","true","false","false","false","true","false","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false","false"
"0140b6a0-7c79-4ea9-b9e4-c5b2bfd5cdb0","true","false","false","true","false","false","false","true","false","false","false","false"
"","true","false","false","false","false","false","false","true","true","false","false","false"
"5659ad4f-b66b-4952-8457-8d1c366fed88","true","false","false","true","false","false","false","true","false","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false","false"
"05373209-554e-4ad7-b13a-ddf823133fda","true","false","false","true","false","false","false","true","false","false","false","false"
"cce63b6d-fccf-4aaf-811a-b00f666add88","false","false","false","true","false","false","false","false","false","false","false","false"
"12600bce-ecac-46ba-84ec-540b45c1f8c3","true","false","false","true","false","false","false","true","false","false","false","false"
"050d154e-813b-4aeb-858c-dbec494888d7","true","false","false","true","false","false","false","true","false","false","false","false"
"","true","false","false","false","false","false","false","true","true","false","false","false"
"","true","false","false","false","false","false","false","true","true","false","false","false"
"4e29fbef-1079-4ec9-9368-280b0e60362f","true","false","false","true","false","false","false","true","false","false","false","false"
"","true","false","false","false","false","false","false","true","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false","false"
"","true","false","false","false","false","false","false","true","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false","false"
"9ca222d7-51c5-4f1e-8caa-686b57ce0bd3","true","false","false","true","false","false","false","true","false","false","false","false"
"18b63c6d-5194-4f83-a44b-b4fc84cdbe78","true","false","false","true","false","false","false","true","false","false","false","false"
"dc18e32d-1139-460c-abc9-806fbf5d9322","true","false","false","true","false","false","false","true","false","false","false","false"
"","true","false","false","false","false","false","false","true","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false","false"
"","true","false","false","false","false","false","false","true","true","false","false","false"
"76116688-9f68-46b0-aa02-444121ba8a16","true","false","false","true","false","false","false","true","false","false","false","false"
"","true","false","false","false","false","false","false","true","true","false","false","false"
"","true","false","false","false","false","false","false","true","true","false","false","false"
"817483b3-4e3c-45d0-b130-8513469b2ab3","true","false","false","true","false","false","false","true","false","false","false","false"
"","true","false","false","false","false","false","false","true","true","false","false","false"
"17050e77-6e31-437b-bb42-0295434c1409","true","false","false","true","false","false","false","true","false","false","false","false"
"","true","false","false","false","false","false","false","true","true","false","false","false"
"20a2c351-957d-4164-89a6-57fc6d6d12e1","true","false","false","true","false","false","false","true","false","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false","false"
"","true","false","false","false","false","false","false","true","true","false","false","false"
"3cbb0c95-6a3a-4e8a-a157-9ec5a2c53816","true","false","false","true","false","false","false","true","false","false","false","false"
"be308966-e58e-4816-8d43-fef0af6400b5","true","false","false","true","false","false","false","true","false","false","false","false"
"20ce6531-6054-4fcf-83ec-45a29061e957","true","false","false","true","false","false","false","true","false","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false","false"
"4a9eb12e-e577-4487-b2e2-cd8af0a38766","true","false","false","true","false","false","false","true","false","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false","false"
"","true","false","false","false","false","false","false","true","true","false","false","false"
"","true","false","false","false","false","false","false","true","true","false","false","false"
"","true","false","false","false","false","false","false","true","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false","false"
"e5c6a698-1866-44bb-84f6-a623e930fab5","true","false","false","true","false","false","false","true","false","false","false","false"
"a71d2c3f-b18a-4af6-8594-180f851fa5a7","true","false","false","true","false","false","false","true","false","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false","false"
"","true","false","false","false","false","false","false","true","true","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false","false"
"","true","false","false","false","false","false","false","true","false","false","false","false"
